center_adv,threats_me_3,threats_opp_3,open_threats_me,open_threats_opp,pairs_me,pairs_opp,pop_me,pop_opp,col_h_0,col_h_1,col_h_2,col_h_3,col_h_4,col_h_5,col_h_6,my_col_0,my_col_1,my_col_2,my_col_3,my_col_4,my_col_5,my_col_6,opp_col_0,opp_col_1,opp_col_2,opp_col_3,opp_col_4,opp_col_5,opp_col_6,phase,lr_balance,move
mid,1,0,0,0,4,6,4,3,mid,mid,mid,low,low,mid,mid,1,0,1,0,1,1,2,2,2,1,1,0,1,0,mid,mid,3_put
mid,0,1,0,0,6,6,3,4,mid,mid,mid,mid,low,mid,mid,2,2,1,1,0,1,0,1,0,1,1,1,1,2,mid,high,2_put
mid,1,1,0,1,6,6,4,3,mid,mid,mid,mid,low,mid,mid,1,0,1,1,1,1,2,2,2,2,1,0,1,0,mid,mid,5_put
mid,1,1,1,0,6,6,3,4,mid,mid,mid,mid,low,mid,mid,2,2,2,1,0,1,0,1,0,1,1,1,2,2,mid,high,3_put
mid,1,2,0,3,6,6,4,3,mid,mid,mid,mid,low,mid,mid,1,0,1,1,1,2,2,2,2,2,2,0,1,0,mid,low,4_put
mid,2,1,3,0,6,6,3,4,mid,mid,mid,mid,mid,mid,mid,2,2,2,2,0,1,0,1,0,1,1,2,2,2,mid,high,1_put
mid,0,0,0,0,0,0,1,2,low,low,low,low,low,low,low,0,0,1,0,0,0,0,1,0,0,0,0,1,0,early,mid,5_put
mid,0,0,0,0,0,0,2,1,low,low,low,low,low,mid,low,1,0,0,0,0,1,0,0,0,1,0,0,1,0,early,mid,0_pop
mid,0,0,0,0,0,0,1,1,low,low,low,low,low,mid,low,0,0,1,0,0,1,0,0,0,0,0,0,1,0,early,mid,3_put
mid,0,0,0,0,0,1,1,2,low,low,low,low,low,mid,low,0,0,0,0,0,1,0,0,0,1,1,0,1,0,early,mid,0_put
mid,0,0,0,0,1,0,2,2,low,low,low,low,low,mid,low,0,0,1,1,0,1,0,1,0,0,0,0,1,0,early,mid,5_put
mid,0,0,0,0,0,2,2,2,low,low,low,low,low,mid,low,1,0,0,0,0,1,0,0,0,1,1,0,2,0,early,mid,2_put
mid,0,0,0,0,2,0,2,2,low,low,mid,low,low,mid,low,0,0,1,1,0,2,0,1,0,1,0,0,1,0,early,mid,5_put
mid,0,1,0,1,0,3,2,2,low,low,mid,low,low,high,low,1,0,1,0,0,1,0,0,0,1,1,0,3,0,early,mid,5_put
mid,1,0,0,0,3,0,2,2,low,low,mid,low,low,high,low,0,0,1,1,0,3,0,1,0,1,0,0,2,0,mid,mid,0_put
mid,0,1,0,0,0,3,2,2,mid,low,mid,low,low,high,low,1,0,1,0,0,2,0,1,0,1,1,0,3,0,mid,mid,6_put
mid,1,0,0,0,3,1,2,3,mid,low,mid,low,low,high,low,1,0,1,1,0,3,0,1,0,1,0,0,2,1,mid,mid,3_put
mid,0,1,0,1,1,5,3,2,mid,low,mid,mid,low,high,low,1,0,1,0,0,2,1,1,0,1,2,0,3,0,mid,mid,5_put
mid,1,0,1,0,5,2,2,3,mid,low,mid,mid,low,high,low,1,0,1,2,0,3,0,1,0,1,0,0,3,1,mid,mid,6_put
mid,0,1,0,2,2,6,3,2,mid,low,mid,mid,low,high,mid,1,0,1,0,0,3,1,1,0,1,2,0,3,1,mid,mid,2_put
mid,1,0,2,0,6,3,2,3,mid,low,mid,mid,low,high,mid,1,0,1,2,0,3,1,1,0,2,0,0,3,1,mid,mid,1_put
mid,0,2,0,3,3,6,3,3,mid,low,mid,mid,low,high,mid,1,0,2,0,0,3,1,1,1,1,2,0,3,1,mid,mid,6_pop
mid,2,0,2,0,6,2,4,2,mid,low,mid,mid,low,high,low,1,1,1,2,0,3,1,1,0,2,0,0,3,0,mid,mid,4_put
mid,0,0,0,0,0,0,1,1,low,low,low,low,low,low,low,0,0,1,0,0,0,0,0,0,0,1,0,0,0,early,mid,6_put
mid,0,0,0,0,0,0,1,2,low,low,low,low,low,low,low,0,0,0,1,0,0,0,0,0,1,0,0,0,1,early,mid,3_put
mid,0,0,0,0,0,1,2,1,low,low,low,mid,low,low,low,0,0,1,0,0,0,1,0,0,0,2,0,0,0,early,mid,3_put
mid,0,0,0,0,1,0,1,2,low,low,low,mid,low,low,low,0,0,0,2,0,0,0,0,0,1,1,0,0,1,early,mid,3_put
mid,0,0,0,0,0,1,2,1,low,low,low,high,low,low,low,0,0,1,1,0,0,1,0,0,0,3,0,0,0,early,mid,5_put
mid,0,0,0,0,1,1,1,3,low,low,low,high,low,low,low,0,0,0,3,0,0,0,0,0,1,1,0,1,1,early,mid,5_put
mid,0,0,0,0,1,1,3,1,low,low,low,high,low,mid,low,0,0,1,1,0,1,1,0,0,0,3,0,1,0,early,mid,2_put
mid,0,0,0,0,1,3,1,3,low,low,mid,high,low,mid,low,0,0,0,3,0,1,0,0,0,2,1,0,1,1,mid,mid,2_put
mid,0,0,0,0,3,3,3,1,low,low,mid,high,low,mid,low,0,0,2,1,0,1,1,0,0,1,3,0,1,0,mid,mid,2_put
mid,0,0,0,1,3,4,1,3,low,low,high,high,low,mid,low,0,0,1,3,0,1,0,0,0,3,1,0,1,1,mid,mid,6_put
